symbol,shortName,exchange,sector,industry,eodprice,regularMarketPrice,pct_1w,pct_1m,rel_volume,revenueGrowth,earningsQuarterlyGrowth,pegRatio,trailingPE
ZTS,Zoetis Inc.,NYQ,Healthcare,Drug Manufacturers - Specialty & Generic,79.44,78.29,2.5134,-5.4570,0.5048,0.0290,-0.0020,1.9000,12.8377
ZBIO,"Zenas BioPharma, Inc.",NMS,Healthcare,Biotechnology,17.47,17.455,1.8973,-11.1253,0.4119,,,,
ZBH,"Zimmer Biomet Holdings, Inc.",NYQ,Healthcare,Medical Devices,87.33,87.575,4.5672,6.3707,0.3352,0.0930,0.3080,0.6200,22.6878
XRAY,DENTSPLY SIRONA Inc.,NMS,Healthcare,Medical Instruments & Supplies,10.0,10.145,3.2045,-7.7727,0.5854,0.0010,,0.7100,
XERS,"Xeris Biopharma Holdings, Inc.",NMS,Healthcare,Drug Manufacturers - Specialty & Generic,6.18,6.22,3.7500,-4.6708,0.3160,0.3830,,,88.9286
WST,"West Pharmaceutical Services, I",NYQ,Healthcare,Medical Instruments & Supplies,314.5,320.785,2.7597,-1.5755,0.3055,0.2100,0.5460,3.0300,42.8284
WRBY,Warby Parker Inc.,NYQ,Healthcare,Medical Instruments & Supplies,22.72,23.43,-6.5763,-20.6768,0.8102,0.0830,-0.0850,,2344.0000
WGS,GeneDx Holdings Corp.,NMS,Healthcare,Diagnostics & Research,52.21,51.765,-2.5692,26.9684,0.3162,0.1740,,,
WEAV,"Weave Communications, Inc.",NYQ,Healthcare,Health Information Services,5.69,5.715,-5.2239,-3.7879,0.2606,0.1740,,,
WAY,Waystar Holding Corp.,NMS,Healthcare,Health Information Services,20.0,19.15,-8.0211,-10.4303,0.8585,0.2240,0.4790,0.5967,28.5821
WAT,Waters Corporation,NYQ,Healthcare,Diagnostics & Research,365.36,363.81,-2.0824,2.5498,0.3455,0.9140,,1.6200,46.3340
VTRS,Viatris Inc.,NMS,Healthcare,Drug Manufacturers - Specialty & Generic,15.88,15.805,0.7330,-7.2739,0.2939,0.0810,,0.1500,
